,Scientific Name,Vernacular name,Class,Order,Family,Genus,Species,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IBRA 7 Regions,Collector
397,Macropus fuliginosus,Western Grey Kangaroo,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus fuliginosus,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
398,Wallabia bicolor,Swamp Wallaby,Mammalia,Diprotodontia,Macropodidae,Wallabia,Wallabia bicolor,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
399,Pardalotus (Pardalotinus) striatus,Striated Pardalote,Aves,Passeriformes,Pardalotidae,Pardalotus,Pardalotus striatus,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
401,Charadrius (Charadrius) bicinctus,Double-banded Plover,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
403,Cygnus (Chenopis) atratus,Black Swan,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
404,Chroicocephalus novaehollandiae,Silver Gull,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus novaehollandiae,-36.85471,140.96778,WGS84,-36.85471,140.96778,1000.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,SA ORNITHOLOGICAL ASSOCIATION  SAOA
405,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
406,Platycercus (Platycercus) elegans,Crimson Rosella,Aves,Psittaciformes,Psittacidae,Platycercus,Platycercus elegans,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
407,Polytelis anthopeplus,Regent Parrot,Aves,Psittaciformes,Psittacidae,Polytelis,Polytelis anthopeplus,-35.4,142.2,WGS84,-35.4,142.2,20000.0,Australia,Victoria,Yarriambiack (S),Murray Darling Depression,INKSTER T. Tim
408,Aquila (Uroaetus) audax,Wedge-tailed Eagle,Aves,Falconiformes,Accipitridae,Aquila,Aquila audax,-37.543479999999995,140.9725,WGS84,-37.543479999999995,140.9725,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,STEWART H. Hafiz
409,Caligavis chrysops,Yellow-faced Honeyeater,Aves,Passeriformes,Meliphagidae,Caligavis,Caligavis chrysops,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
410,Acanthiza (Subacanthiza) lineata,Striated Thornbill,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza lineata,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
411,Trichosurus vulpecula,Common Brushtail Possum,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,Trichosurus vulpecula,-37.99716,140.9662,WGS84,-37.99716,140.9662,50.0,Australia,Victoria,Grant (DC),Naracoorte Coastal Plain,BACHMANN M. Mark
412,Gymnorhina tibicen,Australian Magpie,Aves,Passeriformes,Artamidae,Gymnorhina,Gymnorhina tibicen,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
413,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
414,"Zosterops lateralis ( (Latham), 1801) lateralis",Silvereye,Aves,Passeriformes,Timaliidae,Zosterops,Zosterops lateralis,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
415,Charadrius (Charadrius) bicinctus,Double-banded Plover,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
416,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
417,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
418,Galaxias maculatus,Minnow,Actinopterygii,Salmoniformes,Galaxiidae,Galaxias,Galaxias maculatus,-38.054790000000004,140.9899,WGS84,-38.054790000000004,140.9899,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,HAMMER M. Michael
419,Grus (Mathewsia) rubicunda,Brolga,Aves,Gruiformes,Gruidae,Grus,Grus rubicunda,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
420,Stipiturus malachurus,Southern Emu-wren,Aves,Passeriformes,Maluridae,Stipiturus,Stipiturus malachurus,-37.98724,140.96698,WGS84,-37.98724,140.96698,1000.0,Australia,Victoria,Grant (DC),Naracoorte Coastal Plain,SA ORNITHOLOGICAL ASSOCIATION  SAOA
421,Charadrius (Charadrius) bicinctus,Double-banded Plover,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
422,Litoria ewingii,Brown Tree Frog,Amphibia,Anura,Hylidae,Litoria,Litoria ewingii,-37.5386,140.96758,WGS84,-37.5386,140.96758,50.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,HAYWOOD B. Bryan
423,Antechinus flavipes,Yellow-footed Antechinus,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus flavipes,-37.92942,141.18206,WGS84,-37.92942,141.18206,1000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,MCLENNAN D Don
427,Grus (Mathewsia) rubicunda,Brolga,Aves,Gruiformes,Gruidae,Grus,Grus rubicunda,-37.69441,140.97246,WGS84,-37.69441,140.97246,1000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,SA ORNITHOLOGICAL ASSOCIATION  SAOA
428,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.73688,141.675,WGS84,-34.73688,141.675,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,HAWTIN A. Alec
430,Charadrius (Charadrius) bicinctus,Double-banded Plover,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
432,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
433,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
434,Potorous tridactylus,Long-nosed Potoroo,Mammalia,Diprotodontia,Potoroidae,Potorous,Potorous tridactylus,-37.99522,140.96836000000002,WGS84,-37.99522,140.96836000000002,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,BACHMANN M. Mark
435,Falco (Tinnunculus) cenchroides,Nankeen Kestrel,Aves,Falconiformes,Falconidae,Falco,Falco cenchroides,-36.344359999999995,140.96573,WGS84,-36.344359999999995,140.96573,1000.0,Australia,Victoria,Tatiara (DC),Murray Darling Depression,SA ORNITHOLOGICAL ASSOCIATION  SAOA
436,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.73688,141.675,WGS84,-34.73688,141.675,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,HAWTIN A. Alec
437,Antechinus agilis,Agile Antechinus,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus agilis,-37.99522,140.96836000000002,WGS84,-37.99522,140.96836000000002,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,BACHMANN M. Mark
438,Falco (Hierofalco) peregrinus,Peregrine Falcon,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,-36.852,140.96939,WGS84,-36.852,140.96939,100.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,HLAVA C. Cassandra
439,Trichosurus vulpecula,Common Brushtail Possum,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,Trichosurus vulpecula,-37.9952,140.96726999999998,WGS84,-37.9952,140.96726999999998,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,BACHMANN M. Mark
440,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.69492,142.27062,WGS84,-34.69492,142.27062,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,WEBSTER R. Rick | MAHER P. Philip
442,Charadrius (Charadrius) bicinctus,Double-banded Plover,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
443,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
444,Antechinus agilis,Agile Antechinus,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus agilis,-37.99561,140.9682,WGS84,-37.99561,140.9682,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,BACHMANN M. Mark
445,Haematopus fuliginosus,sooty oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus fuliginosus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
446,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
447,Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,Petroica,Petroica phoenicea,-37.69441,140.97246,WGS84,-37.69441,140.97246,1000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,SA ORNITHOLOGICAL ASSOCIATION  SAOA
448,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.91831,141.98006,WGS84,-34.91831,141.98006,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,LANSLEY P. Peter
450,Elseyornis melanops,Black-fronted Dotterel,Aves,Charadriiformes,Charadriidae,Elseyornis,Elseyornis melanops,-36.85125,140.96974,WGS84,-36.85125,140.96974,100.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,HLAVA C. Cassandra
