,Scientific Name,Vernacular name,Class,Order,Family,Genus,Species,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IBRA 7 Regions,Collector
0,Actitis hypoleucos,Common Sandpiper,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
1,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
2,Vombatus ursinus,Common Wombat,Mammalia,Diprotodontia,Vombatidae,Vombatus,Vombatus ursinus,-37.998540000000006,140.96805,WGS84,-37.998540000000006,140.96805,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,MALLETT K.J. Katy
3,Tringa (Rhyacophilus) stagnatilis,Marsh sandpiper,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa stagnatilis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
5,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
6,Phascolarctos cinereus,Koala,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,-38.04272,141.01026000000002,WGS84,-38.04272,141.01026000000002,500.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,HAYWOOD B. Bryan
7,Polytelis anthopeplus,Regent Parrot,Aves,Psittaciformes,Psittacidae,Polytelis,Polytelis anthopeplus,-35.2,141.0,WGS84,-35.2,141.0,20000.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,REGENT PARROT PUBLIC SIGHTING - -
8,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
9,Thinornis cucullatus,Hooded Plover,Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis cucullatus,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
10,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
11,Litoria raniformis,Southern Bell Frog,Amphibia,Anura,Hylidae,Litoria,Litoria raniformis,-37.09402,140.9861,WGS84,-37.09402,140.9861,50.0,Australia,Victoria,West Wimmera (S),Murray Darling Depression,STRATMAN B. Bronwyn
13,Limosa lapponica,Bar-tailed Godwit,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa lapponica,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
14,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
15,Gallinago (Gallinago) hardwickii,Latham's Snipe,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago hardwickii,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
16,Tringa (Glottis) nebularia,Greenshank,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa nebularia,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
17,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
18,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
20,Litoria raniformis,Southern Bell Frog,Amphibia,Anura,Hylidae,Litoria,Litoria raniformis,-37.09394,140.986,WGS84,-37.09394,140.986,50.0,Australia,Victoria,West Wimmera (S),Murray Darling Depression,STRATMAN B. Bronwyn
21,Calidris (Erolia) ferruginea,Curlew Sandpiper,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ferruginea,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
22,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
24,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
25,AVES,Birds,Aves,,,,,-35.24825,142.31798,WGS84,-35.24825,142.31798,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,MCLAUGHLAN J. John | HAWTIN A. Alec
26,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-35.24825,142.31798,WGS84,-35.24825,142.31798,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,MCLAUGHLAN J. John | HAWTIN A. Alec
27,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
28,Calyptorhynchus (Calyptorhynchus) banksii,Red-tailed Black Cockatoo,Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus banksii,-36.702059999999996,140.96778,WGS84,-36.702059999999996,140.96778,2566.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,CARPENTER G.A. Graham
29,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
30,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
31,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
32,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
33,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
34,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
35,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
36,Calidris (Erolia) ferruginea,Curlew Sandpiper,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ferruginea,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
37,Polytelis anthopeplus,Regent Parrot,Aves,Psittaciformes,Psittacidae,Polytelis,Polytelis anthopeplus,-35.2,141.0,WGS84,-35.2,141.0,10050.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,REGENT PARROT PUBLIC SIGHTING - -
38,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
39,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
40,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
41,Phascolarctos cinereus,Koala,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,-38.01933,141.10578,WGS84,-38.01933,141.10578,250.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,HAYWOOD B. Bryan
42,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
44,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
45,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
46,Acanthiza (Geobasileus) chrysorrhoa,Yellow-tail,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza chrysorrhoa,-38.04603,141.00708999999998,WGS84,-38.04603,141.00708999999998,2566.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,VAN WEENEN J. Jason | DE JONG M.C. Mark
48,Tringa (Glottis) nebularia,Greenshank,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa nebularia,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
49,Polytelis anthopeplus,Regent Parrot,Aves,Psittaciformes,Psittacidae,Polytelis,Polytelis anthopeplus,-35.2,141.0,WGS84,-35.2,141.0,10050.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,REGENT PARROT PUBLIC SIGHTING - -
50,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
51,Macropus fuliginosus,Western Grey Kangaroo,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus fuliginosus,-37.99015,140.96711000000002,WGS84,-37.99015,140.96711000000002,2566.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,FOULKES J.N. Jeff
52,Tringa (Glottis) nebularia,Greenshank,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa nebularia,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
55,Gallinago (Gallinago) hardwickii,Latham's Snipe,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago hardwickii,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
56,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
57,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
58,Actitis hypoleucos,Common Sandpiper,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
59,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
60,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
61,Calidris (Erolia) ferruginea,Curlew Sandpiper,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ferruginea,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
62,Thinornis cucullatus,Hooded Plover,Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis cucullatus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
64,Melithreptus (Melithreptus) lunatus,White-naped Honeyeater,Aves,Passeriformes,Meliphagidae,Melithreptus,Melithreptus lunatus,-38.036120000000004,141.01279,WGS84,-38.036120000000004,141.01279,2566.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,DE JONG M.C. Mark
65,Oryctolagus cuniculus,Rabbit,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,-37.99105,140.96722,WGS84,-37.99105,140.96722,2566.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,FOULKES J.N. Jeff
66,Stipiturus malachurus polionotum,Southern Emu-wren (south East Ssp),Aves,Passeriformes,Maluridae,Stipiturus,Stipiturus malachurus,-37.85654,141.42821,WGS84,-37.85654,141.42821,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,HAYWOOD B. Bryan
67,Neochmia (Aegintha) temporalis,Red-browed Finch,Aves,Passeriformes,Estrildidae,Neochmia,Neochmia temporalis,-38.04603,141.00708999999998,WGS84,-38.04603,141.00708999999998,2566.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,VAN WEENEN J. Jason | DE JONG M.C. Mark
68,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
69,Thinornis cucullatus,Hooded Plover,Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis cucullatus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
70,Calyptorhynchus (Calyptorhynchus) banksii graptogyne,Red-tailed Black Cockatoo (south-east Subspecies),Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus banksii,-37.2,141.0,WGS84,-37.2,141.0,10250.0,Australia,Victoria,West Wimmera (S),Naracoorte Coastal Plain,RED TAIL BLACK COCKATOO VOLUNTEERS
71,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
72,Thinornis cucullatus,Hooded Plover,Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis cucullatus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
73,Thinornis cucullatus,Hooded Plover,Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis cucullatus,-38.057359999999996,140.98193,WGS84,-38.057359999999996,140.98193,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
74,Leporillus apicalis,Lesser Stick-nest Rat,Mammalia,Rodentia,Muridae,Leporillus,Leporillus apicalis,-34.18346,142.16666999999998,WGS84,-34.18346,142.16666999999998,25000.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,KREFFT G. Gerald
75,Fulica atra,Eurasian Coot,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
77,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
79,Macropus fuliginosus,Western Grey Kangaroo,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus fuliginosus,-34.38012,140.96999,WGS84,-34.38012,140.96999,10000.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,KANGAROO MANAGEMENT PROGRAM (DEH)
81,Anas (Nettion) gracilis,Grey teal,Aves,Anseriformes,Anatidae,Anas,Anas gracilis,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
82,Capra hircus,Goat,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,-34.669540000000005,140.96527,WGS84,-34.669540000000005,140.96527,2566.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,GILLEN P. Paul
83,Gallinula (Gallinula) tenebrosa,Dusky Moorhen,Aves,Gruiformes,Rallidae,Gallinula,Gallinula tenebrosa,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
86,Capra hircus,Goat,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,-34.807140000000004,140.96532,WGS84,-34.807140000000004,140.96532,2566.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,GILLEN P. Paul
89,Macropus fuliginosus,Western Grey Kangaroo,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus fuliginosus,-34.38012,140.96999,WGS84,-34.38012,140.96999,10000.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,KANGAROO MANAGEMENT PROGRAM (DEH)
90,Threskiornis spinicollis,Straw-necked Ibis,Aves,Ciconiiformes,Threskiornithidae,Threskiornis,Threskiornis spinicollis,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
91,Porphyrio (Porphyrio) porphyrio,Purple Swamphen,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
92,Threskiornis spinicollis,Straw-necked Ibis,Aves,Ciconiiformes,Threskiornithidae,Threskiornis,Threskiornis spinicollis,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
95,Circus approximans,Kahu,Aves,Falconiformes,Accipitridae,Circus,Circus approximans,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
97,Cygnus (Chenopis) atratus,Black Swan,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
100,Elseyornis melanops,Black-fronted Dotterel,Aves,Charadriiformes,Charadriidae,Elseyornis,Elseyornis melanops,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
102,Morelia spilota,Carpet Python,Reptilia,Squamata,Pythonidae,Morelia,Morelia spilota,-34.00575,140.96719,WGS84,-34.00575,140.96719,25000.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CARPET PYTHONS RIVERLAND  Public si
104,Elseyornis melanops,Black-fronted Dotterel,Aves,Charadriiformes,Charadriidae,Elseyornis,Elseyornis melanops,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
105,Osphranter rufus,Red Kangaroo,Mammalia,Diprotodontia,Macropodidae,Osphranter,Osphranter rufus,-34.38012,140.96999,WGS84,-34.38012,140.96999,10000.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,KANGAROO MANAGEMENT PROGRAM (DEH)
106,Porphyrio (Porphyrio) porphyrio,Purple Swamphen,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
107,Macropus fuliginosus,Western Grey Kangaroo,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus fuliginosus,-34.00012,140.96999,WGS84,-34.00012,140.96999,10000.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,KANGAROO MANAGEMENT PROGRAM (DEH)
108,Egretta novaehollandiae,White-faced Heron,Aves,Ciconiiformes,Ardeidae,Egretta,Egretta novaehollandiae,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
110,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
113,Capra hircus,Goat,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,-34.65295,140.96523,WGS84,-34.65295,140.96523,2566.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,GILLEN P. Paul
114,Fulica atra,Eurasian Coot,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
116,Circus approximans,Kahu,Aves,Falconiformes,Accipitridae,Circus,Circus approximans,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
118,Egretta novaehollandiae,White-faced Heron,Aves,Ciconiiformes,Ardeidae,Egretta,Egretta novaehollandiae,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
119,Anas (Nettion) gracilis,Grey teal,Aves,Anseriformes,Anatidae,Anas,Anas gracilis,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,JONES W. Warren
121,Antechinus agilis,Agile Antechinus,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus agilis,-37.99577,140.96771999999999,WGS84,-37.99577,140.96771999999999,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,BACHMANN M. Mark
122,Pseudomys shortridgei,Heath Rat,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys shortridgei,-37.99817,140.96651,WGS84,-37.99817,140.96651,50.0,Australia,Victoria,Grant (DC),Naracoorte Coastal Plain,BACHMANN M. Mark
